,RV_d,RV_w,RV_m,RV_next,logRV_d,logRV_w,logRV_m,logRV_next
2016-02-29,8.583115918141153e-05,5.171536755182702e-05,6.7627157836818e-05,7.774687821954327e-05,-9.363127291697328,-9.869753642242822,-9.60149943374954,-9.462050873003703
2016-03-01,7.774687821954327e-05,5.22850445346974e-05,6.925424867303462e-05,6.315025483490927e-05,-9.462050873003703,-9.858798270554965,-9.577724618145936,-9.669992090261799
2016-03-02,6.315025483490927e-05,6.0377922596819744e-05,6.408468180243511e-05,5.30693212178499e-05,-9.669992090261799,-9.714885383529243,-9.655303635603214,-9.843909667197698
2016-03-03,5.30693212178499e-05,6.657215028679074e-05,6.304572831356902e-05,2.5319014832029786e-05,-9.843909667197698,-9.617222729606311,-9.67164866247557,-10.583950920539918
2016-03-04,2.5319014832029786e-05,6.102332565714875e-05,6.027211680679166e-05,3.177196494610472e-05,-10.583950920539918,-9.704252740344149,-9.716639309881563,-10.356923115065278
2016-03-07,3.177196494610472e-05,5.021148681008738e-05,6.005842666885776e-05,3.643328106229322e-05,-10.356923115065278,-9.899264744949853,-9.720191026698028,-10.220025141415254
2016-03-08,3.643328106229322e-05,4.194876737863738e-05,5.955633706890122e-05,8.89411579928869e-05,-10.220025141415254,-10.079059124732892,-9.728586172809175,-9.32753442869474
2016-03-09,8.89411579928869e-05,4.71069480102329e-05,6.022147648966664e-05,8.392472155412723e-05,-9.32753442869474,-9.963087928853666,-9.717479856414645,-9.385589141354505
2016-03-10,8.392472155412723e-05,5.327802807748837e-05,6.239070992886798e-05,2.3874717898184488e-05,-9.385589141354505,-9.839984666030116,-9.682092570216144,-10.64268629892774
2016-03-11,2.3874717898184488e-05,5.2989168690719315e-05,6.032434475862173e-05,5.5875715935720264e-05,-10.64268629892774,-9.845421142447094,-9.715773150662603,-9.792378902260737
2016-03-14,5.5875715935720264e-05,5.780991888864242e-05,6.07555008511599e-05,4.713246315016861e-05,-9.792378902260737,-9.75834846013335,-9.7086512849125,-9.96254643382318
2016-03-15,4.713246315016861e-05,5.99497553062175e-05,6.07147463457712e-05,3.7828083274037044e-05,-9.96254643382318,-9.722002090068017,-9.709322304207454,-10.182456143892084
2016-03-16,3.7828083274037044e-05,4.972714036244753e-05,6.062566908591443e-05,7.253431097626441e-05,-10.182456143892084,-9.908957679187452,-9.710790522833864,-9.531449474551437
2016-03-17,7.253431097626441e-05,4.744905824687496e-05,5.678320243145362e-05,0.00011428423618005547,-9.531449474551437,-9.955851772857576,-9.77626824673242,-9.076821037848879
2016-03-18,0.00011428423618005547,6.553096190324916e-05,5.7343156282273035e-05,0.00014435748699181627,-9.076821037848879,-9.632986300202884,-9.766455310103819,-8.84321709354263
2016-03-21,0.00014435748699181627,8.322731611446836e-05,6.186361993219043e-05,6.043354197834029e-05,-8.84321709354263,-9.393933743810512,-9.690576657821053,-9.713964621686491
2016-03-22,6.043354197834029e-05,8.588753188010269e-05,5.989853070019417e-05,5.756876831104867e-05,-9.713964621686491,-9.362470722110046,-9.722856912867194,-9.762528617085739
2016-03-23,5.756876831104867e-05,8.983566888750502e-05,6.058285259611432e-05,8.48789573407285e-05,-9.762528617085739,-9.317527344730575,-9.711497014759312,-9.374283169508052
2016-03-24,8.48789573407285e-05,9.230459816039784e-05,6.103651005227509e-05,0.0001445882612254466,-9.374283169508052,-9.290415516771487,-9.704036709026429,-8.841619740929636
2016-03-25,0.0001445882612254466,9.836540316947606e-05,6.65775280841455e-05,7.92548191760291e-05,-8.841619740929636,-9.226820392918716,-9.617141951502365,-9.44284107551143
2016-03-28,7.92548191760291e-05,8.534486960631864e-05,6.917555701178342e-05,6.990856515346853e-05,-9.44284107551143,-9.368809048875306,-9.57886153451516,-9.568320951407985
2016-03-29,6.990856515346853e-05,8.723987424134427e-05,6.994125824693019e-05,3.883572463050235e-05,-9.568320951407985,-9.346847911892876,-9.567853406344177,-10.156167422109213
2016-03-30,3.883572463050235e-05,8.349326550523501e-05,6.780510213097977e-05,3.0410507381374466e-05,-10.156167422109213,-9.390743384291309,-9.598871638365765,-10.400719083394076
2016-03-31,3.0410507381374466e-05,7.259957551336422e-05,6.5653448911063e-05,9.032888797579852e-05,-10.400719083394076,-9.5305501056564,-9.631118900625326,-9.312052130498644
2016-04-01,9.032888797579852e-05,6.17477008634346e-05,6.688884132655797e-05,0.00016846182554893343,-9.312052130498644,-9.692452196637984,-9.612476906040117,-8.688800794838848
2016-04-04,0.00016846182554893343,7.958910213801545e-05,7.213395515978904e-05,0.00010542235817092718,-8.688800794838848,-9.438632125847906,-9.536984292873864,-9.157534868928904
2016-04-05,0.00010542235817092718,8.669186074150719e-05,7.5775016220648e-05,0.00016376227724084868,-9.157534868928904,-9.353149403488459,-9.487740601261795,-8.71709410010175
2016-04-06,0.00016376227724084868,0.00011167717126357645,8.177457587040909e-05,0.0001491848949335545,-8.71709410010175,-9.099897352776862,-9.411542948223511,-8.810323445402569
2016-04-07,0.0001491848949335545,0.00013543204877401244,8.68996492281937e-05,8.348549996393317e-05,-8.810323445402569,-8.907039790115453,-9.350755411448603,-9.390836396501387
2016-04-08,8.348549996393317e-05,0.0001340633711716394,8.665166477233217e-05,0.00012194358671902262,-9.390836396501387,-8.91719720469744,-9.35361317533571,-9.011951204064136
2016-04-11,0.00012194358671902262,0.00012475972340565724,8.837979500710015e-05,0.0002767783038060632,-9.011951204064136,-8.989120081698122,-9.333866046233645,-8.192293358196403
2016-04-12,0.0002767783038060632,0.00015903091253268443,9.987541254836735e-05,0.0001762600034009351,-8.192293358196403,-8.746411327387936,-9.211586021992456,-8.643549793654245
2016-04-13,0.0001762600034009351,0.00016153045776470172,0.00010534742561496801,0.00037036801724516725,-8.643549793654245,-8.73081622103459,-9.158245905270704,-7.901013135448973
2016-04-14,0.00037036801724516725,0.00020576708222702425,0.00012003995080110433,4.842143202835655e-05,-7.901013135448973,-8.48876521167748,-9.027685114190728,-9.935565966551014
2016-04-15,4.842143202835655e-05,0.00019875426863990897,0.00012052146665357339,0.00018348787262424234,-9.935565966551014,-8.523440824093244,-9.023681844669722,-8.603361436899828
2016-04-18,0.00018348787262424234,0.00021106312582095288,0.00012556481036484513,0.00017577869730364692,-8.603361436899828,-8.4633528209333,-8.982687719039015,-8.646284186905756
2016-04-19,0.00017577869730364692,0.00019086320452046962,0.00012836001314319017,0.00013249952585095082,-8.646284186905756,-8.563953069279982,-8.960670860270918,-8.928930736308393
2016-04-20,0.00013249952585095082,0.00018211110901047279,0.0001278210149095145,0.00014769029795216434,-8.928930736308393,-8.610893018976421,-8.964878811283587,-8.820392381019804
2016-04-21,0.00014769029795216434,0.0001375755651518722,0.00013178723109014286,4.033180721983033e-05,-8.820392381019804,-8.891336500199158,-8.934321062745473,-10.118367659846783
2016-04-22,4.033180721983033e-05,0.00013595764019016694,0.00013100373285872383,8.110457043606316e-05,-10.118367659846783,-8.903166454411833,-8.940283976727603,-9.41977000989363
2016-04-25,8.110457043606316e-05,0.00011548097975253111,0.00013083216981760269,0.0001256746236927257,-9.41977000989363,-9.06640385308742,-8.941594438225614,-8.981813546973882
2016-04-26,0.0001256746236927257,0.00010546016503034687,0.00012997245902066082,0.000278476012702637,-8.981813546973882,-9.15717631077629,-8.948187214246607,-8.186178273540717
2016-04-27,0.000278476012702637,0.0001346554624006841,0.00013902796781732483,0.00013337283627809352,-8.186178273540717,-8.912790429491697,-8.880834718474699,-8.922361321541027
2016-04-28,0.00013337283627809352,0.00013179197006586994,0.00014191270741389868,7.886712764377104e-05,-8.922361321541027,-8.934285104125742,-8.860297721254538,-9.447744782132359
2016-04-29,7.886712764377104e-05,0.00013949903415065812,0.00014373231664177455,8.188639145869466e-05,-9.447744782132359,-8.877452163527435,-8.847557204782136,-9.410176520163535
2016-05-02,8.188639145869466e-05,0.0001396553983551844,0.00014607212955438,0.0001945494300171153,-9.410176520163535,-8.876331893951566,-8.831409335615797,-8.544823774280061
2016-05-03,0.0001945494300171153,0.0001534303596200623,0.0001508094269198944,0.00019390184576281326,-8.544823774280061,-8.782263125378053,-8.799492928524561,-8.548157960888176
2016-05-04,0.00019390184576281326,0.00013651552623209756,0.00015196579147507076,0.00011216214719641172,-8.548157960888176,-8.899071472000529,-8.791854460489363,-9.09556409924736
2016-05-05,0.00011216214719641172,0.0001322733884157612,0.0001522721455216837,0.0001669267590891493,-9.09556409924736,-8.930638896827647,-8.789840550246678,-8.697954811010236
2016-05-06,0.0001669267590891493,0.00014988531470483684,0.00015241598560569735,0.00015715209596423943,-8.697954811010236,-8.805639457757557,-8.788896371687775,-8.758295821135608
2016-05-09,0.00015715209596423943,0.00016493845560594582,0.00015277813110709212,0.000266863168350277,-8.758295821135608,-8.709937543685163,-8.786523157957802,-8.22877413429085
2016-05-10,0.000266863168350277,0.00017940120327257814,0.00016111347967010775,0.00012862571797720947,-8.22877413429085,-8.625885343747358,-8.73340097791293,-8.958603004435068
2016-05-11,0.00012862571797720947,0.00016634597771545738,0.00016141721290911624,0.00011584034721731927,-8.958603004435068,-8.701440134284184,-8.731517540786234,-9.063296768687572
2016-05-12,0.00011584034721731927,0.0001670816177196389,0.00015410185124599152,0.00010661013540056066,-9.063296768687572,-8.69702753756675,-8.777896153512065,-9.146331033951043
2016-05-13,0.00010661013540056066,0.00015501829298192115,0.00015093594815506538,5.2842443785401866e-05,-9.146331033951043,-8.771966783685599,-8.798654333012072,-9.84819393818575
2016-05-16,5.2842443785401866e-05,0.00013415636254615366,0.0001365029675432579,0.00011685057012242931,-9.84819393818575,-8.916503808222755,-8.89916347074739,-9.054613762101292
2016-05-17,0.00011685057012242931,0.0001041538429005841,0.0001396133829111703,0.00013239002450985936,-9.054613762101292,-9.169640533071014,-8.876632789841548,-8.929757505537324
2016-05-18,0.00013239002450985936,0.00010490670420711409,0.0001372907534514256,0.00011902490367781138,-8.929757505537324,-9.162438180918071,-8.893408864660465,-9.036176971984206
2016-05-19,0.00011902490367781138,0.00010554361549921251,0.0001347110355593422,9.845785981428135e-05,-9.036176971984206,-9.156385325952144,-8.912377808630488,-9.225880904808871
2016-05-20,9.845785981428135e-05,0.00010391316038195666,0.00013316368710312995,4.487043163991238e-05,-9.225880904808871,-9.171954041612304,-8.923930705416073,-10.011729289597445
2016-05-23,4.487043163991238e-05,0.00010231875795285875,0.00012849005681620938,6.492570115490203e-05,-10.011729289597445,-9.187416562280031,-8.959658257215047,-9.642265460793451
2016-05-24,6.492570115490203e-05,9.19337841593533e-05,0.00012960796108598538,7.17386686325462e-05,-9.642265460793451,-9.294440889710058,-8.950995576242882,-9.542479250315417
2016-05-25,7.17386686325462e-05,7.980351298389067e-05,0.00012918223827673462,5.37016066683983e-05,-9.542479250315417,-9.435941779046063,-8.954285676604627,-9.832065775420059
2016-05-26,5.37016066683983e-05,6.673885358200805e-05,0.00012591073750290151,6.861930493119851e-05,-9.832065775420059,-9.614721763786918,-8.979936540373219,-9.586935192515634
2016-05-27,6.861930493119851e-05,6.077114260539148e-05,0.00011637179624056342,9.840764957375411e-05,-9.586935192515634,-9.708393864348071,-9.058719493050836,-9.22639100117631
2016-05-30,9.840764957375411e-05,7.147858619215983e-05,0.00011478246957218437,0.0002825177091830831,-9.22639100117631,-9.54611124791807,-9.072470918601514,-8.171768968008754
2016-05-31,0.0002825177091830831,0.00011499698779779606,0.00012403931418760765,0.0001935692540369912,-8.171768968008754,-9.070603753419094,-8.99491118651319,-8.54987469091529
2016-06-01,0.0001935692540369912,0.00013936310487868507,0.0001291158079411666,0.00017487390033809748,-8.54987469091529,-8.87842704800421,-8.954800045850298,-8.651444841431866
2016-06-02,0.00017487390033809748,0.00016359756361262489,0.00012822146568302941,0.00014343901668372686,-8.651444841431866,-8.718100414994028,-8.961750808568551,-8.849599886775266
2016-06-03,0.00014343901668372686,0.00017856150596313054,0.0001259277007248891,4.50147778998738e-05,-8.849599886775266,-8.630576884842629,-8.979801825365763,-10.008517502839506
2016-06-06,4.50147778998738e-05,0.0001678829316283545,0.00012287554757504647,0.0001004423212836947,-10.008517502839506,-8.69224306135627,-9.004337709317166,-9.205925917198282
2016-06-07,0.0001004423212836947,0.0001314678540484768,0.00011985352767479853,0.00011505544716732403,-9.205925917198282,-8.936747431493862,-9.029239329083067,-9.07009552737078
2016-06-08,0.00011505544716732403,0.00011576509267454337,0.0001179400436385751,0.00048769826207214524,-9.07009552737078,-9.063946619403293,-9.04533331949733,-7.625813453728081
2016-06-09,0.00048769826207214524,0.00017832996502135291,0.00012797800244411457,0.0002406599553971166,-7.625813453728081,-8.631874426887386,-8.96365138333495,-8.332125178765983
2016-06-10,0.0002406599553971166,0.0001977741527640309,0.00013307046778138307,0.00022247216528335428,-8.332125178765983,-8.52838431527641,-8.924630985630447,-8.410708114539378
2016-06-13,0.00022247216528335428,0.00023326563024072695,0.0001379173686025665,0.00018670687941336095,-8.410708114539378,-8.363332281107853,-8.88885510531705,-8.585970125076434
2016-06-14,0.00018670687941336095,0.00025051854186666024,0.00014155812969405743,9.095393008453124e-05,-8.585970125076434,-8.291977221578902,-8.862799408258502,-9.305156342991948
2016-06-15,9.095393008453124e-05,0.00024569823845010166,0.00014329046998038145,0.00029159116597690535,-9.305156342991948,-8.311406040974855,-8.850636031433767,-8.140157510346569
2016-06-16,0.00029159116597690535,0.00020647681923105366,0.0001512332243374031,0.00033145975367974767,-8.140157510346569,-8.485321923088252,-8.796686719446246,-8.012003860710633
2016-06-17,0.00033145975367974767,0.00022463677888757988,0.00016028184839057987,0.00037499585851257736,-8.012003860710633,-8.40102533106425,-8.738576116102385,-7.888595309351732
2016-06-20,0.00037499585851257736,0.0002551415175334245,0.00017191689179216012,0.0001513082896516664,-7.888595309351732,-8.273691804086562,-8.668498803502045,-8.796190488266658
2016-06-21,0.0001513082896516664,0.00024806179958108564,0.00017431918405749582,0.00041011142398633444,-8.796190488266658,-8.30183224785794,-8.654621974395225,-7.799081425531091
2016-06-22,0.00041011142398633444,0.0003118932983614462,0.00019092104734596955,0.00012734771621330653,-7.799081425531091,-8.072849100456382,-8.56365005628058,-8.968588504598623
2016-06-23,0.00012734771621330653,0.0002790446084087265,0.00019375841166680612,0.0002580474215313761,-8.968588504598623,-8.18413854378823,-8.548897959512248,-8.262366798021839
2016-06-24,0.0002580474215313761,0.0002643621419790522,0.00020222699134402565,0.0008459320783276967,-8.262366798021839,-8.238190266617789,-8.506119277444672,-7.075071369032985
2016-06-27,0.0008459320783276967,0.00035854938594207604,0.00023823746732853923,0.0002654660898546047,-7.075071369032985,-7.933443871350074,-8.342242200092548,-8.234023070571762
2016-06-28,0.0002654660898546047,0.0003813809459826637,0.0002471850484614213,0.00019579259380669742,-8.234023070571762,-7.87171156193566,-8.305372913225114,-8.538454143136606
2016-06-29,0.00019579259380669742,0.0003385171799467363,0.000251611636835646,0.00025197734763464353,-8.538454143136606,-7.99093541832777,-8.287623385435683,-8.286170967970953
2016-06-30,0.00025197734763464353,0.00036344310623100367,0.00025022343858344424,0.00019613977313432095,-8.286170967970953,-7.919887514652953,-8.293155885286101,-8.536682514812172
2016-07-01,0.00019613977313432095,0.00035106157655159266,0.00025034028036059557,9.503581746687865e-05,-8.536682514812172,-7.95454863326357,-8.29268904468952,-9.261255659218715
2016-07-04,9.503581746687865e-05,0.00020088232437942907,0.000246711276593722,0.00016432733336551564,-9.261255659218715,-8.512790774393322,-8.307291420398101,-8.713649575675284
2016-07-05,0.00016432733336551564,0.00018065457308161125,0.0002476607455338033,9.383066788198724e-05,-8.713649575675284,-8.618923232553463,-8.303450306092044,-9.27401773993808
2016-07-06,9.383066788198724e-05,0.0001602621878966692,0.0002498796496238993,0.0001936751452578053,-9.27401773993808,-8.738698785560823,-8.294530757324763,-8.549327795110178
2016-07-07,0.0001936751452578053,0.00014860174742130158,0.0002541175052590862,0.0001037634808985153,-8.549327795110178,-8.814239993582245,-8.277713385272055,-9.1733955071935
2016-07-08,0.0001037634808985153,0.00013012648897414041,0.00025360423406504945,0.0003579178306771997,-9.1733955071935,-8.947002819967171,-8.279735245385371,-7.935206841762414
2016-07-11,0.0003579178306771997,0.00018270289161620461,0.0002477051235470974,0.00015609280759516515,-7.935206841762414,-8.607648720241441,-8.303271133491485,-8.76505916648364
2016-07-12,0.00015609280759516515,0.00018105598646213453,0.00024386116228337232,0.0001431955669228288,-8.76505916648364,-8.616703704741683,-8.318911091583056,-8.851298562814332
2016-07-13,0.0001431955669228288,0.00019092896627030285,0.00024025768053971205,0.00027879094064813177,-8.851298562814332,-8.563608579680322,-8.333798125457358,-8.185048015002682
2016-07-14,0.00027879094064813177,0.00020795212534836815,0.0002444433196867471,0.00010861632522083585,-8.185048015002682,-8.478202190469938,-8.316526688153454,-9.127687916773429
2016-07-15,0.00010861632522083585,0.00020892269421283224,0.0002452461558293064,0.00018892004445064426,-9.127687916773429,-8.473545779926777,-8.313247726386384,-8.574186148323882
2016-07-18,0.00018892004445064426,0.00017512313696752116,0.00024057928666902181,0.0004017231890803301,-8.574186148323882,-8.650020620638172,-8.332460432786327,-7.819747041978054
2016-07-19,0.0004017231890803301,0.00022424921326455417,0.0002437730791872301,0.00010579294666644667,-7.819747041978054,-8.40275211939548,-8.319272358506018,-9.154025762188988
2016-07-20,0.00010579294666644667,0.00021676868921327773,0.00023153658319422416,0.00018222053320852128,-9.154025762188988,-8.43667925995556,-8.370772238268891,-8.61029233471741
2016-07-21,0.00018222053320852128,0.00019745460772535562,0.00023294168517408117,0.0002172755309079191,-8.61029233471741,-8.530001327895661,-8.364721984654322,-8.434343821915043
2016-07-22,0.0002172755309079191,0.00021918644886277224,0.00022417641730688046,0.0003252506264057359,-8.434343821915043,-8.425587369450437,-8.403076792745454,-8.030914207197563
2016-07-25,0.0003252506264057359,0.0002464525652537906,0.0002331720041338091,0.00012072249767311893,-8.030914207197563,-8.308340610289134,-8.36373373271094,-9.022015225569204
2016-07-26,0.00012072249767311893,0.0001902524269723484,0.00022692996214025197,7.229973481696939e-05,-9.022015225569204,-8.567158278933036,-8.390868684252736,-9.534688713491386
2016-07-27,7.229973481696939e-05,0.00018355378460245292,0.00019176485561703705,0.0001805498748062696,-9.534688713491386,-8.603002284516407,-8.559240125363152,-8.619502949779617
2016-07-28,0.0001805498748062696,0.00018321965292200258,0.00018790502766029456,0.00020448372805524057,-8.619502949779617,-8.604824289909926,-8.579573362612813,-8.49502166602291
2016-07-29,0.00020448372805524057,0.00018066129235146688,0.00018830007921704655,0.00020835918010750858,-8.49502166602291,-8.618886039245448,-8.577473170538228,-8.476246660134965
2016-08-01,0.00020835918010750858,0.0001572830030918214,0.0001863174352385404,0.00021330143183126318,-8.476246660134965,-8.757463172030764,-8.588058161122422,-8.452803750931588
2016-08-02,0.00021330143183126318,0.00017579878992345026,0.00018709751063385597,0.00012024143896276183,-8.452803750931588,-8.646169887161744,-8.583880095295672,-9.026008013509964
2016-08-03,0.00012024143896276183,0.00018538713075260874,0.00018824322070185064,0.00017187639090124202,-9.026008013509964,-8.59306378124647,-8.577775172913203,-8.668734415246561
2016-08-04,0.00017187639090124202,0.00018365243397160322,0.0001885863596807473,0.0002005116473158892,-8.668734415246561,-8.602464987963113,-8.575953984187674,-8.514637722829798
2016-08-05,0.0002005116473158892,0.00018285801782373296,0.000193435495109561,0.0001169954865046309,-8.514637722829798,-8.6068000182716,-8.550565942709621,-9.053374346060659
2016-08-08,0.0001169954865046309,0.00016458527910315744,0.00018995005607532582,0.0004363638040948018,-9.053374346060659,-8.712081100500436,-8.568748856665666,-7.737034020316263
2016-08-09,0.0004363638040948018,0.00020919775355586514,0.00020506825258424796,0.0003685233579630743,-7.737034020316263,-8.472230086075353,-8.492167207160142,-7.906006190387901
2016-08-10,0.0003685233579630743,0.00025885413735592767,0.00020555032200633315,0.0001307557637629131,-7.906006190387901,-8.259245444822099,-8.489819191563223,-8.942178608889753
2016-08-11,0.0001307557637629131,0.0002506300119282619,0.00020439863819577623,0.00026176807277405404,-8.942178608889753,-8.291532363390207,-8.495437872864267,-8.248051282642534
2016-08-12,0.00026176807277405404,0.00026288129701989486,0.0002097882975526501,0.0001280875016017588,-8.248051282642534,-8.24380758940195,-8.469411165949568,-8.962796140617252
2016-08-15,0.0001280875016017588,0.00026509970003932043,0.00020293814123236044,0.00028795623214404814,-8.962796140617252,-8.235404198953546,-8.502608855592399,-8.152701713824317
2016-08-16,0.00028795623214404814,0.0002354181856491697,0.00021108995518341552,0.0004641501856366263,-8.152701713824317,-8.354146687101561,-8.46322571372506,-7.675302166721288
2016-08-17,0.0004641501856366263,0.0002545435511838801,0.00022360041614641473,0.00018657907246154344,-7.675302166721288,-8.276038219259203,-8.40564950833888,-8.586654891742274
2016-08-18,0.00018657907246154344,0.0002657082129236061,0.00021382113811828807,0.0003632541871022514,-8.586654891742274,-8.233111418809473,-8.450370227925719,-7.920407453512634
2016-08-19,0.0003632541871022514,0.0002860054357892456,0.00022552392177446098,0.0003558984265736345,-7.920407453512634,-8.159499391425292,-8.397083877979096,-7.940864905457724
2016-08-22,0.0003558984265736345,0.00033156762078362075,0.00023341837147287527,0.0004757326366836432,-7.940864905457724,-8.011678483278443,-8.36267770039978,-7.650654338975777
2016-08-23,0.0004757326366836432,0.0003691229016915398,0.00024516642173540816,0.0010881911910941358,-7.650654338975777,-7.904380631551035,-8.313572897745077,-6.823238326982393
2016-08-24,0.0010881911910941358,0.0004939311027830417,0.0002798455383121536,0.0005354422394625946,-6.823238326982393,-7.613114316096081,-8.1812723985545,-7.532417349947541
2016-08-25,0.0005354422394625946,0.000563703736183252,0.0002986964356662207,0.0002805249021357514,-7.532417349947541,-7.480981557536673,-8.116082430846895,-8.178847702799937
2016-08-26,0.0002805249021357514,0.0005471578791899519,0.00030816121599889254,0.00020157636725687985,-8.178847702799937,-7.510772987020646,-8.084887158858399,-8.509341758457111
2016-08-29,0.00020157636725687985,0.0005162934673266009,0.0003091169656557385,0.00018723947485557634,-8.509341758457111,-7.568835025333895,-8.081790499558485,-8.583121612120454
2016-08-30,0.00018723947485557634,0.0004585948349609876,0.0003083331359648447,0.0002699106800227912,-8.583121612120454,-7.68734323216974,-8.0843294249097,-8.2174190979347
2016-08-31,0.0002699106800227912,0.0002949387327467187,0.0003111309314155393,0.00032494505316016874,-8.2174190979347,-8.128742569745029,-8.075296411637055,-8.031854149383198
2016-09-01,0.00032494505316016874,0.0002528392954862335,0.00031620564147594415,0.00032306461054585516,-8.031854149383198,-8.28275607125754,-8.059117475618319,-8.037657912560215
2016-09-02,0.00032306461054585516,0.00026134723716825426,0.00032542487654790294,0.00045588681658116935,-8.037657912560215,-8.249660241614647,-8.030378609677811,-7.6932657691580575
2016-09-05,0.00045588681658116935,0.00031220932703311216,0.000338334441351536,0.0003474746482114876,-7.6932657691580575,-8.071836354845184,-7.991475384665719,-7.964818562617105
2016-09-06,0.0003474746482114876,0.0003442563617042944,0.00034501457775588137,0.0007552567074721602,-7.964818562617105,-7.974123650148826,-7.971923597617948,-7.188452724203311
2016-09-07,0.0007552567074721602,0.00044132556719416827,0.00037402645143622365,0.000428401956608524,-7.188452724203311,-7.725727480692261,-7.891183769924654,-7.755448418728712
2016-09-08,0.000428401956608524,0.0004620169478838393,0.0003736645492777564,0.0019809914849395517,-7.755448418728712,-7.67990876738186,-7.892151822474647,-6.224157759159878
2016-09-09,0.0019809914849395517,0.0007936023227625786,0.0004469585550494145,0.0015682041603981198,-6.224157759159878,-7.138927949122038,-7.713044461925178,-6.457824097427029
2016-09-12,0.0015682041603981198,0.0010160657915259687,0.000512297118532833,0.0006013666763902272,-6.457824097427029,-6.8918170780646255,-7.576605596405645,-7.416305532716638
2016-09-13,0.0006013666763902272,0.0010668441971617166,0.0005277334186972045,0.0003506347538232842,-7.416305532716638,-6.843050243119803,-7.546919101098755,-7.955765178486392
2016-09-14,0.0003506347538232842,0.0009859198064319414,0.000537849202889092,0.0007371101184001313,-7.955765178486392,-6.921935437460287,-7.52793214319365,-7.212773126888413
2016-09-15,0.0007371101184001313,0.0010476614387902629,0.0005582652886280049,0.0006277735636428871,-7.212773126888413,-6.861194704415427,-7.490676101787834,-7.373330864670687
2016-09-16,0.0006277735636428871,0.0007770178545309299,0.0005657027149010167,0.0009175591562396923,-7.373330864670687,-7.160047100359186,-7.477441679666758,-6.993793395663605
