,Aceite_Prima_1L,Aceite_Cocinero,Harina_Nicolini,Harina_Blanca_F,Jabon_Bolivar,Shampoo_Plusbelle,Alacena_Mayo,Ketchup_AlaCena
2020-03-30,532.0,474.0,435.0,342.0,398.0,329.0,336.0,275.0
2020-04-06,517.0,460.0,449.0,356.0,381.0,351.0,317.0,271.0
2020-04-13,398.0,371.0,345.0,271.0,306.0,281.0,255.0,222.0
2020-04-20,403.0,377.0,345.0,283.0,305.0,273.0,252.0,222.0
2020-04-27,439.0,391.0,366.0,293.0,326.0,305.0,257.0,225.0
2020-05-04,408.0,346.0,343.0,288.0,283.0,265.0,257.0,219.0
2020-05-11,422.0,393.0,360.0,287.0,317.0,276.0,249.0,228.0
2020-05-18,404.0,361.0,334.0,282.0,306.0,295.0,252.0,222.0
2020-05-25,388.0,355.0,329.0,287.0,306.0,269.0,245.0,220.0
2020-06-01,418.0,371.0,335.0,292.0,316.0,274.0,258.0,211.0
2020-06-08,408.0,394.0,355.0,293.0,300.0,278.0,259.0,206.0
2020-06-15,377.0,351.0,353.0,290.0,300.0,283.0,256.0,220.0
2020-06-22,414.0,403.0,349.0,272.0,303.0,278.0,251.0,218.0
2020-06-29,645.0,564.0,510.0,391.0,353.0,303.0,280.0,236.0
2020-07-06,409.0,394.0,359.0,301.0,332.0,284.0,270.0,226.0
2020-07-13,413.0,383.0,361.0,283.0,303.0,274.0,256.0,219.0
2020-07-20,419.0,377.0,332.0,285.0,300.0,275.0,258.0,223.0
2020-07-27,448.0,390.0,349.0,292.0,310.0,282.0,254.0,220.0
2020-08-03,417.0,384.0,355.0,287.0,306.0,288.0,265.0,219.0
2020-08-10,419.0,391.0,365.0,296.0,307.0,265.0,268.0,225.0
2020-08-17,433.0,393.0,355.0,309.0,319.0,294.0,269.0,223.0
2020-08-24,437.0,379.0,349.0,300.0,314.0,287.0,262.0,226.0
2020-08-31,417.0,382.0,335.0,281.0,308.0,290.0,261.0,217.0
2020-09-07,408.0,375.0,343.0,294.0,308.0,285.0,259.0,217.0
2020-09-14,411.0,388.0,357.0,299.0,304.0,294.0,264.0,223.0
2020-09-21,419.0,394.0,363.0,298.0,312.0,283.0,258.0,220.0
2020-09-28,428.0,355.0,360.0,302.0,323.0,291.0,260.0,223.0
2020-10-05,431.0,381.0,347.0,305.0,305.0,280.0,259.0,217.0
2020-10-12,415.0,375.0,345.0,296.0,305.0,274.0,250.0,208.0
2020-10-19,424.0,385.0,347.0,295.0,313.0,296.0,253.0,217.0
2020-10-26,427.0,385.0,366.0,304.0,299.0,285.0,251.0,223.0
2020-11-02,410.0,397.0,359.0,294.0,323.0,285.0,252.0,219.0
2020-11-09,421.0,383.0,351.0,287.0,305.0,264.0,249.0,216.0
2020-11-16,415.0,369.0,341.0,285.0,320.0,268.0,260.0,225.0
2020-11-23,415.0,382.0,323.0,303.0,299.0,277.0,251.0,214.0
2020-11-30,464.0,377.0,368.0,286.0,325.0,282.0,265.0,213.0
2020-12-07,581.0,502.0,470.0,414.0,429.0,373.0,354.0,298.0
2020-12-14,549.0,499.0,455.0,395.0,414.0,371.0,329.0,289.0
2020-12-21,566.0,529.0,487.0,377.0,421.0,395.0,357.0,291.0
2020-12-28,428.0,385.0,341.0,290.0,311.0,288.0,267.0,221.0
2021-01-04,416.0,381.0,360.0,270.0,311.0,265.0,250.0,220.0
2021-01-11,424.0,403.0,369.0,303.0,321.0,287.0,269.0,225.0
2021-01-18,433.0,387.0,359.0,298.0,299.0,276.0,257.0,223.0
2021-01-25,424.0,382.0,341.0,290.0,303.0,277.0,261.0,230.0
2021-02-01,439.0,383.0,363.0,290.0,307.0,275.0,252.0,218.0
2021-02-08,431.0,387.0,352.0,306.0,312.0,276.0,250.0,222.0
2021-02-15,425.0,396.0,352.0,290.0,312.0,272.0,259.0,219.0
2021-02-22,428.0,387.0,347.0,278.0,317.0,278.0,259.0,216.0
2021-03-01,418.0,385.0,327.0,302.0,293.0,273.0,256.0,216.0
2021-03-08,429.0,383.0,354.0,307.0,310.0,256.0,253.0,218.0
2021-03-15,406.0,375.0,325.0,282.0,288.0,290.0,252.0,218.0
2021-03-22,414.0,383.0,336.0,301.0,316.0,289.0,262.0,232.0
2021-03-29,516.0,464.0,415.0,378.0,381.0,342.0,321.0,268.0
2021-04-05,546.0,478.0,459.0,357.0,389.0,348.0,325.0,271.0
2021-04-12,541.0,482.0,440.0,365.0,388.0,345.0,326.0,279.0
2021-04-19,419.0,376.0,370.0,302.0,321.0,295.0,269.0,224.0
2021-04-26,411.0,380.0,344.0,305.0,320.0,297.0,255.0,223.0
2021-05-03,411.0,362.0,322.0,290.0,305.0,274.0,258.0,223.0
2021-05-10,441.0,375.0,335.0,281.0,308.0,287.0,267.0,207.0
2021-05-17,414.0,366.0,368.0,310.0,318.0,284.0,266.0,210.0
2021-05-24,416.0,378.0,345.0,283.0,301.0,266.0,258.0,217.0
2021-05-31,451.0,392.0,352.0,292.0,330.0,288.0,265.0,232.0
2021-06-07,404.0,359.0,341.0,286.0,320.0,280.0,266.0,212.0
2021-06-14,421.0,383.0,353.0,302.0,316.0,275.0,251.0,204.0
2021-06-21,419.0,398.0,371.0,302.0,305.0,278.0,255.0,223.0
2021-06-28,432.0,370.0,372.0,297.0,313.0,279.0,258.0,222.0
2021-07-05,416.0,371.0,344.0,293.0,299.0,278.0,267.0,214.0
2021-07-12,438.0,377.0,338.0,293.0,317.0,282.0,264.0,216.0
2021-07-19,433.0,370.0,344.0,294.0,316.0,274.0,256.0,217.0
2021-07-26,438.0,380.0,347.0,264.0,289.0,268.0,254.0,218.0
2021-08-02,422.0,374.0,336.0,286.0,294.0,264.0,252.0,214.0
2021-08-09,426.0,379.0,341.0,294.0,300.0,281.0,251.0,219.0
2021-08-16,432.0,368.0,360.0,284.0,311.0,266.0,268.0,207.0
2021-08-23,416.0,386.0,350.0,294.0,297.0,285.0,249.0,214.0
2021-08-30,407.0,354.0,341.0,282.0,301.0,282.0,263.0,209.0
2021-09-06,420.0,384.0,343.0,307.0,312.0,278.0,266.0,219.0
2021-09-13,436.0,394.0,355.0,309.0,320.0,269.0,274.0,223.0
2021-09-20,431.0,390.0,336.0,284.0,302.0,275.0,256.0,223.0
2021-09-27,407.0,365.0,359.0,288.0,316.0,278.0,259.0,211.0
2021-10-04,443.0,358.0,369.0,294.0,322.0,271.0,252.0,221.0
2021-10-11,434.0,381.0,327.0,286.0,305.0,275.0,256.0,223.0
2021-10-18,417.0,397.0,338.0,291.0,306.0,293.0,264.0,230.0
2021-10-25,411.0,404.0,341.0,290.0,315.0,286.0,269.0,218.0
2021-11-01,410.0,380.0,340.0,278.0,310.0,275.0,254.0,223.0
2021-11-08,421.0,364.0,340.0,289.0,308.0,267.0,257.0,210.0
2021-11-15,410.0,380.0,326.0,291.0,312.0,275.0,258.0,206.0
2021-11-22,399.0,362.0,332.0,278.0,297.0,280.0,253.0,225.0
2021-11-29,415.0,385.0,338.0,298.0,318.0,283.0,263.0,219.0
2021-12-06,427.0,384.0,352.0,284.0,304.0,270.0,252.0,224.0
2021-12-13,567.0,521.0,468.0,391.0,413.0,383.0,350.0,288.0
2021-12-20,545.0,535.0,449.0,394.0,408.0,392.0,342.0,297.0
2021-12-27,541.0,502.0,463.0,383.0,411.0,382.0,341.0,308.0
2022-01-03,391.0,355.0,327.0,282.0,294.0,278.0,259.0,221.0
2022-01-10,407.0,378.0,344.0,284.0,322.0,280.0,261.0,223.0
2022-01-17,425.0,352.0,361.0,283.0,307.0,275.0,257.0,219.0
2022-01-24,415.0,371.0,364.0,287.0,313.0,290.0,256.0,212.0
2022-01-31,421.0,366.0,326.0,278.0,315.0,274.0,261.0,227.0
2022-02-07,433.0,372.0,357.0,287.0,306.0,283.0,272.0,219.0
2022-02-14,421.0,374.0,353.0,272.0,313.0,280.0,261.0,223.0
2022-02-21,414.0,371.0,336.0,285.0,306.0,274.0,265.0,211.0
2022-02-28,412.0,382.0,353.0,283.0,304.0,260.0,245.0,209.0
2022-03-07,413.0,374.0,364.0,285.0,288.0,277.0,257.0,225.0
2022-03-14,404.0,375.0,333.0,285.0,305.0,276.0,252.0,217.0
2022-03-21,396.0,354.0,321.0,277.0,297.0,278.0,246.0,224.0
2022-03-28,527.0,491.0,464.0,376.0,394.0,346.0,322.0,276.0
2022-04-04,527.0,474.0,432.0,366.0,386.0,358.0,331.0,261.0
2022-04-11,537.0,479.0,457.0,363.0,387.0,346.0,336.0,284.0
2022-04-18,422.0,373.0,354.0,279.0,303.0,292.0,261.0,217.0
2022-04-25,415.0,370.0,349.0,277.0,309.0,266.0,251.0,224.0
2022-05-02,413.0,363.0,331.0,284.0,301.0,282.0,258.0,220.0
2022-05-09,422.0,368.0,361.0,286.0,306.0,276.0,256.0,208.0
2022-05-16,411.0,373.0,362.0,282.0,300.0,268.0,258.0,218.0
2022-05-23,425.0,385.0,344.0,277.0,287.0,282.0,248.0,231.0
2022-05-30,539.0,491.0,438.0,346.0,330.0,305.0,267.0,230.0
2022-06-06,429.0,388.0,336.0,294.0,306.0,265.0,262.0,222.0
2022-06-13,450.0,395.0,361.0,298.0,305.0,290.0,268.0,229.0
2022-06-20,425.0,391.0,367.0,292.0,307.0,264.0,251.0,224.0
2022-06-27,394.0,369.0,338.0,279.0,304.0,267.0,255.0,219.0
2022-07-04,438.0,388.0,370.0,286.0,327.0,299.0,266.0,218.0
2022-07-11,437.0,395.0,356.0,296.0,314.0,276.0,266.0,222.0
2022-07-18,415.0,367.0,352.0,279.0,300.0,266.0,261.0,223.0
2022-07-25,429.0,359.0,341.0,297.0,310.0,276.0,262.0,214.0
2022-08-01,415.0,369.0,343.0,270.0,299.0,291.0,251.0,225.0
2022-08-08,443.0,403.0,355.0,292.0,306.0,265.0,249.0,220.0
2022-08-15,428.0,392.0,355.0,294.0,304.0,273.0,259.0,216.0
2022-08-22,418.0,390.0,346.0,292.0,300.0,294.0,267.0,226.0
2022-08-29,413.0,381.0,340.0,308.0,301.0,291.0,265.0,216.0
2022-09-05,450.0,388.0,366.0,297.0,313.0,280.0,265.0,225.0
2022-09-12,418.0,382.0,345.0,281.0,313.0,273.0,265.0,220.0
2022-09-19,412.0,376.0,332.0,290.0,310.0,299.0,264.0,221.0
2022-09-26,438.0,381.0,375.0,277.0,299.0,289.0,254.0,221.0
2022-10-03,396.0,368.0,353.0,281.0,295.0,270.0,249.0,214.0
2022-10-10,400.0,395.0,337.0,284.0,303.0,276.0,272.0,211.0
2022-10-17,431.0,380.0,360.0,299.0,310.0,275.0,251.0,211.0
2022-10-24,407.0,370.0,340.0,282.0,298.0,275.0,267.0,223.0
2022-10-31,400.0,365.0,342.0,281.0,295.0,275.0,253.0,215.0
2022-11-07,406.0,372.0,343.0,278.0,288.0,283.0,261.0,212.0
2022-11-14,444.0,383.0,361.0,315.0,313.0,292.0,256.0,216.0
2022-11-21,439.0,366.0,347.0,292.0,320.0,274.0,266.0,216.0
2022-11-28,401.0,363.0,333.0,301.0,305.0,284.0,251.0,206.0
2022-12-05,420.0,363.0,337.0,296.0,303.0,271.0,243.0,213.0
2022-12-12,555.0,500.0,455.0,394.0,415.0,378.0,348.0,290.0
2022-12-19,566.0,502.0,464.0,391.0,407.0,394.0,359.0,290.0
2022-12-26,581.0,511.0,465.0,399.0,410.0,361.0,340.0,294.0
2023-01-02,410.0,395.0,359.0,273.0,304.0,280.0,251.0,222.0
2023-01-09,453.0,400.0,381.0,297.0,323.0,278.0,261.0,232.0
2023-01-16,422.0,390.0,348.0,301.0,303.0,268.0,261.0,213.0
2023-01-23,443.0,397.0,362.0,295.0,321.0,286.0,266.0,228.0
2023-01-30,430.0,374.0,361.0,281.0,311.0,295.0,263.0,223.0
2023-02-06,434.0,385.0,351.0,286.0,325.0,267.0,261.0,217.0
2023-02-13,432.0,391.0,360.0,311.0,309.0,281.0,272.0,222.0
2023-02-20,428.0,396.0,366.0,306.0,318.0,287.0,263.0,219.0
2023-02-27,424.0,372.0,358.0,291.0,325.0,279.0,257.0,220.0
2023-03-06,405.0,355.0,328.0,294.0,299.0,274.0,247.0,226.0
2023-03-13,435.0,393.0,365.0,290.0,296.0,267.0,256.0,222.0
2023-03-20,400.0,382.0,359.0,274.0,296.0,281.0,258.0,223.0
2023-03-27,526.0,476.0,435.0,358.0,406.0,352.0,340.0,278.0
2023-04-03,519.0,471.0,445.0,384.0,365.0,323.0,326.0,263.0
2023-04-10,527.0,480.0,442.0,356.0,370.0,350.0,308.0,268.0
2023-04-17,450.0,377.0,354.0,292.0,320.0,293.0,266.0,230.0
2023-04-24,425.0,401.0,367.0,290.0,313.0,282.0,265.0,213.0
2023-05-01,422.0,374.0,381.0,309.0,310.0,279.0,268.0,214.0
2023-05-08,431.0,394.0,347.0,308.0,317.0,293.0,269.0,223.0
2023-05-15,345.0,305.0,275.0,270.0,301.0,269.0,255.0,208.0
2023-05-22,410.0,386.0,353.0,288.0,309.0,292.0,264.0,219.0
2023-05-29,421.0,373.0,357.0,291.0,306.0,278.0,264.0,219.0
2023-06-05,437.0,383.0,352.0,280.0,302.0,288.0,266.0,212.0
2023-06-12,413.0,370.0,358.0,297.0,317.0,285.0,254.0,217.0
2023-06-19,429.0,376.0,339.0,283.0,313.0,279.0,256.0,222.0
2023-06-26,435.0,390.0,360.0,293.0,316.0,272.0,257.0,215.0
2023-07-03,391.0,375.0,343.0,280.0,320.0,284.0,264.0,213.0
2023-07-10,428.0,378.0,370.0,285.0,301.0,273.0,268.0,218.0
2023-07-17,421.0,377.0,379.0,286.0,328.0,280.0,261.0,227.0
2023-07-24,401.0,356.0,342.0,285.0,320.0,273.0,246.0,219.0
2023-07-31,434.0,385.0,349.0,289.0,313.0,269.0,257.0,217.0
2023-08-07,447.0,414.0,368.0,290.0,325.0,299.0,268.0,222.0
2023-08-14,412.0,382.0,341.0,295.0,293.0,287.0,261.0,209.0
2023-08-21,437.0,385.0,353.0,282.0,315.0,302.0,268.0,227.0
2023-08-28,445.0,383.0,355.0,295.0,306.0,271.0,259.0,223.0
2023-09-04,429.0,376.0,323.0,298.0,311.0,278.0,251.0,217.0
2023-09-11,434.0,382.0,347.0,284.0,302.0,270.0,263.0,225.0
2023-09-18,418.0,360.0,335.0,279.0,308.0,269.0,251.0,211.0
2023-09-25,406.0,379.0,335.0,282.0,312.0,267.0,268.0,223.0
2023-10-02,415.0,397.0,375.0,305.0,321.0,295.0,268.0,224.0
2023-10-09,418.0,388.0,336.0,293.0,306.0,272.0,254.0,216.0
2023-10-16,404.0,379.0,356.0,283.0,301.0,287.0,255.0,218.0
2023-10-23,446.0,381.0,347.0,295.0,303.0,284.0,260.0,220.0
2023-10-30,416.0,385.0,345.0,279.0,320.0,300.0,260.0,227.0
2023-11-06,422.0,386.0,359.0,296.0,321.0,272.0,269.0,216.0
2023-11-13,423.0,373.0,351.0,292.0,312.0,292.0,263.0,218.0
2023-11-20,426.0,379.0,361.0,290.0,305.0,287.0,255.0,225.0
2023-11-27,439.0,380.0,362.0,283.0,291.0,268.0,269.0,215.0
2023-12-04,420.0,401.0,350.0,285.0,309.0,294.0,265.0,228.0
2023-12-11,579.0,503.0,468.0,402.0,438.0,382.0,358.0,309.0
2023-12-18,539.0,480.0,445.0,399.0,396.0,368.0,341.0,291.0
2023-12-25,543.0,512.0,456.0,382.0,423.0,371.0,356.0,304.0
2024-01-01,410.0,378.0,383.0,293.0,315.0,273.0,262.0,214.0
2024-01-08,413.0,377.0,361.0,269.0,299.0,295.0,248.0,224.0
2024-01-15,420.0,386.0,336.0,286.0,321.0,288.0,278.0,225.0
2024-01-22,411.0,377.0,334.0,289.0,314.0,284.0,266.0,221.0
2024-01-29,414.0,403.0,362.0,286.0,313.0,276.0,261.0,219.0
2024-02-05,417.0,362.0,355.0,281.0,331.0,274.0,254.0,212.0
2024-02-12,405.0,373.0,358.0,285.0,297.0,288.0,262.0,223.0
2024-02-19,436.0,385.0,351.0,295.0,324.0,274.0,265.0,213.0
2024-02-26,420.0,363.0,348.0,288.0,310.0,278.0,263.0,219.0
2024-03-04,408.0,382.0,357.0,272.0,316.0,281.0,262.0,226.0
2024-03-11,402.0,385.0,341.0,265.0,312.0,281.0,263.0,221.0
2024-03-18,418.0,385.0,328.0,288.0,304.0,278.0,268.0,230.0
2024-03-25,538.0,485.0,441.0,372.0,384.0,349.0,327.0,280.0
2024-04-01,533.0,451.0,418.0,328.0,364.0,352.0,314.0,268.0
2024-04-08,478.0,451.0,428.0,349.0,377.0,345.0,326.0,269.0
2024-04-15,427.0,381.0,388.0,287.0,319.0,278.0,275.0,223.0
2024-04-22,399.0,362.0,343.0,294.0,307.0,272.0,273.0,208.0
2024-04-29,430.0,395.0,348.0,288.0,316.0,288.0,253.0,215.0
2024-05-06,423.0,387.0,362.0,294.0,313.0,287.0,261.0,217.0
2024-05-13,409.0,367.0,354.0,290.0,309.0,268.0,247.0,209.0
2024-05-20,421.0,386.0,357.0,273.0,307.0,285.0,265.0,222.0
2024-05-27,404.0,379.0,352.0,293.0,306.0,266.0,258.0,220.0
2024-06-03,433.0,392.0,376.0,293.0,314.0,276.0,269.0,210.0
2024-06-10,425.0,400.0,340.0,297.0,321.0,295.0,256.0,222.0
2024-06-17,449.0,376.0,360.0,328.0,312.0,275.0,252.0,225.0
2024-06-24,418.0,371.0,338.0,271.0,310.0,273.0,257.0,221.0
2024-07-01,423.0,376.0,363.0,310.0,309.0,291.0,252.0,222.0
2024-07-08,414.0,386.0,345.0,292.0,323.0,271.0,267.0,225.0
2024-07-15,393.0,379.0,340.0,290.0,313.0,273.0,247.0,223.0
2024-07-22,411.0,397.0,351.0,293.0,330.0,289.0,264.0,224.0
2024-07-29,426.0,382.0,363.0,288.0,305.0,276.0,249.0,217.0
2024-08-05,423.0,375.0,360.0,284.0,306.0,277.0,257.0,221.0
2024-08-12,394.0,375.0,330.0,290.0,304.0,280.0,266.0,223.0
2024-08-19,449.0,386.0,362.0,284.0,319.0,287.0,266.0,219.0
2024-08-26,424.0,409.0,348.0,301.0,306.0,280.0,254.0,230.0
2024-09-02,423.0,365.0,336.0,287.0,301.0,275.0,258.0,216.0
2024-09-09,438.0,382.0,348.0,280.0,316.0,283.0,260.0,220.0
2024-09-16,431.0,401.0,347.0,286.0,319.0,282.0,265.0,219.0
2024-09-23,414.0,378.0,377.0,300.0,301.0,282.0,252.0,221.0
2024-09-30,407.0,376.0,353.0,284.0,320.0,276.0,264.0,211.0
2024-10-07,406.0,384.0,339.0,297.0,325.0,284.0,249.0,221.0
2024-10-14,416.0,382.0,346.0,285.0,311.0,272.0,257.0,215.0
