,demanda,precio_aceite
2017-02-20,391.0,4.492506806333112
2017-02-27,482.0,4.458381101611698
2017-03-06,452.0,4.447952406247753
2017-03-13,718.0,4.36461431705473
2017-03-20,574.0,4.275914972279437
2017-03-27,520.0,4.343252853961242
2017-04-03,417.0,4.455039348898211
2017-04-10,339.0,4.453720040981639
2017-04-17,447.0,4.539438397371801
2017-04-24,327.0,4.573655390589684
2017-05-01,252.0,4.525375677013789
2017-05-08,340.0,4.559466938080881
2017-05-15,293.0,4.6921475401693815
2017-05-22,618.0,4.69381416452416
2017-05-29,533.0,4.832718242300226
2017-06-05,419.0,4.614731473044465
2017-06-12,590.0,4.688196306500567
2017-06-19,429.0,4.7002456479891785
2017-06-26,323.0,4.679693613433617
2017-07-03,672.0,4.69211919594586
2017-07-10,567.0,4.531749618088489
2017-07-17,305.0,4.518382157905907
2017-07-24,399.0,4.552069780730092
2017-07-31,329.0,4.6794665537796964
2017-08-07,279.0,4.6406537711557805
2017-08-14,519.0,4.57818380529158
2017-08-21,621.0,4.541560809602929
2017-08-28,251.0,4.621632426488448
2017-09-04,491.0,4.653713493894146
2017-09-11,343.0,4.614159916192171
2017-09-18,365.0,4.6616461267893206
2017-09-25,357.0,4.6744711237955086
2017-10-02,332.0,4.761447113926881
2017-10-09,425.0,4.706359512487711
2017-10-16,342.0,4.683364506315535
2017-10-23,445.0,4.655078696963431
2017-10-30,416.0,4.538586170753167
2017-11-06,400.0,4.567407295017495
2017-11-13,347.0,4.593511238363064
2017-11-20,373.0,4.598530286578885
2017-11-27,480.0,4.583735060305755
2017-12-04,460.0,4.472902415041941
2017-12-11,491.0,4.44360459127483
2017-12-18,575.0,4.420695473513217
2017-12-25,625.0,4.36167448496369
2018-01-01,292.0,4.353381489408625
2018-01-08,467.0,4.389546033117167
2018-01-15,364.0,4.545679214730681
2018-01-22,467.0,4.564548293838622
2018-01-29,358.0,4.590346292946603
2018-02-05,275.0,4.588785718970507
2018-02-12,270.0,4.437439664398584
2018-02-19,425.0,4.439759943467012
2018-02-26,445.0,4.449022690628757
2018-03-05,339.0,4.655376601336921
2018-03-12,477.0,4.64392685199275
2018-03-19,274.0,4.673873470356984
2018-03-26,531.0,4.675627381278439
2018-04-02,427.0,4.582877831389948
2018-04-09,476.0,4.6828081354421816
2018-04-16,424.0,4.751368840662736
2018-04-23,345.0,4.824327411817973
2018-04-30,387.0,4.750749306648551
2018-05-07,504.0,4.877109125278868
2018-05-14,371.0,4.760341135704761
2018-05-21,489.0,4.815706485891049
2018-05-28,326.0,5.014385902604081
2018-06-04,465.0,4.930701686970079
2018-06-11,540.0,4.8855797046794445
2018-06-18,198.0,4.899247752237153
2018-06-25,329.0,4.85990607505604
2018-07-02,568.0,4.7308607838447445
2018-07-09,483.0,4.741441974120669
2018-07-16,457.0,4.656293924475973
2018-07-23,363.0,4.700855438270385
2018-07-30,428.0,4.628324224737465
2018-08-06,407.0,4.7640287359545495
2018-08-13,516.0,4.702033732228338
2018-08-20,442.0,4.679531587678528
2018-08-27,448.0,4.7533105193471314
2018-09-03,387.0,4.653807813102266
2018-09-10,382.0,4.677576097421799
2018-09-17,387.0,4.793729057594434
2018-09-24,449.0,4.661670774652276
2018-10-01,389.0,4.681868716674201
2018-10-08,441.0,4.708527464733759
2018-10-15,566.0,4.780035774375206
2018-10-22,495.0,4.67946093215607
2018-10-29,392.0,4.574121684757671
2018-11-05,519.0,4.621917429409476
2018-11-12,385.0,4.651340097648202
2018-11-19,251.0,4.6770344400802735
2018-11-26,321.0,4.711000520478461
2018-12-03,235.0,4.658343278130761
2018-12-10,527.0,4.682538754514822
2018-12-17,569.0,4.712015502175651
2018-12-24,732.0,4.656468884324337
2018-12-31,456.0,4.820324994119868
2019-01-07,398.0,4.866477378844724
2019-01-14,500.0,4.76799977027362
2019-01-21,211.0,4.829509194895612
2019-01-28,447.0,4.75026580996508
2019-02-04,502.0,4.822864756555406
2019-02-11,267.0,4.929427323586452
2019-02-18,547.0,4.862003219319578
2019-02-25,458.0,4.951998875781071
2019-03-04,376.0,4.993920961518028
2019-03-11,483.0,5.073436750017586
2019-03-18,637.0,5.2548986702974165
2019-03-25,559.0,5.236973397292111
2019-04-01,565.0,5.171570864150513
2019-04-08,491.0,5.094518841531811
2019-04-15,338.0,5.025277316082444
2019-04-22,499.0,5.023328736798154
2019-04-29,340.0,5.059327374282532
2019-05-06,427.0,5.089675005249416
2019-05-13,378.0,5.171192281709045
2019-05-20,461.0,5.177577648152929
2019-05-27,447.0,5.3201469480869585
2019-06-03,502.0,5.300160492983799
2019-06-10,378.0,5.571699626455938
2019-06-17,399.0,5.640440464781401
2019-06-24,345.0,5.559639805817037
2019-07-01,469.0,5.458954337145307
2019-07-08,533.0,5.5120784243869645
2019-07-15,477.0,5.495444253294017
2019-07-22,350.0,5.572096866646633
2019-07-29,487.0,5.625386841493824
2019-08-05,526.0,5.6236380656895415
2019-08-12,455.0,5.544112257746515
2019-08-19,572.0,5.400379668874703
2019-08-26,347.0,5.3625091524986175
2019-09-02,305.0,5.451262151587408
2019-09-09,250.0,5.47778518917268
2019-09-16,581.0,5.36168107168711
2019-09-23,495.0,5.383801996329935
2019-09-30,414.0,5.4266962761701985
2019-10-07,449.0,5.34638747405053
2019-10-14,312.0,5.366565575295963
2019-10-21,660.0,5.377566256670625
2019-10-28,436.0,5.2733320895819356
2019-11-04,433.0,5.312712908283602
2019-11-11,497.0,5.437208018863384
2019-11-18,469.0,5.617179025837004
2019-11-25,442.0,5.800052606752601
2019-12-02,347.0,5.73242071310885
2019-12-09,610.0,5.710610977937491
2019-12-16,731.0,5.839619377676638
2019-12-23,702.0,5.9714079211837054
2019-12-30,588.0,6.106309349107426
2020-01-06,362.0,6.6309009742307845
2020-01-13,313.0,6.787520348710348
2020-01-20,407.0,7.018818017349995
2020-01-27,426.0,7.234316089262781
2020-02-03,523.0,7.415925894519951
2020-02-10,258.0,7.470963359955048
2020-02-17,582.0,7.673358283520332
2020-02-24,402.0,7.666900891201832
2020-03-02,375.0,7.734715545899423
2020-03-09,319.0,7.768298289810785
2020-03-16,149.0,7.882095777335922
2020-03-23,628.0,8.325529602978506
2020-03-30,545.0,8.156252751463397
2020-04-06,409.0,8.366256152361373
2020-04-13,180.0,8.233791248507654
2020-04-20,279.0,8.27154046026519
2020-04-27,484.0,8.546235032082741
2020-05-04,286.0,8.668682727488852
2020-05-11,158.0,8.613979477911384
2020-05-18,288.0,8.615646433449433
2020-05-25,287.0,8.836418327426456
2020-06-01,51.0,6.151740368884933
2020-06-08,308.0,6.1819347153233375
2020-06-15,287.0,6.1931978965788765
2020-06-22,393.0,6.127107446012065
2020-06-29,702.0,6.374551678800025
2020-07-06,641.0,6.4541562690403715
2020-07-13,387.0,6.229348417941687
2020-07-20,295.0,6.256543757252054
2020-07-27,712.0,6.188642521691044
2020-08-03,429.0,6.290619533447261
2020-08-10,422.0,6.20772315838293
2020-08-17,417.0,6.201113865294217
2020-08-24,442.0,6.263998396044478
2020-08-31,405.0,6.368744128877044
2020-09-07,363.0,6.238856802047562
2020-09-14,368.0,6.207609874665284
2020-09-21,417.0,6.1609249651373394
2020-09-28,373.0,6.094989235213235
2020-10-05,360.0,6.298082192025315
2020-10-12,429.0,6.350508217075872
2020-10-19,400.0,6.2142120360994575
2020-10-26,535.0,6.324053933888135
2020-11-02,196.0,6.576872045599064
2020-11-09,542.0,6.706945518419997
2020-11-16,560.0,6.5325343361678305
2020-11-23,182.0,6.482321881905643
2020-11-30,374.0,6.638480931766549
2020-12-07,521.0,6.561013654997251
2020-12-14,403.0,6.620254817677434
2020-12-21,472.0,6.719926884990575
2020-12-28,290.0,6.6153488063103785
2021-01-04,626.0,6.614876114128299
2021-01-11,542.0,6.2462310961970475
2021-01-18,582.0,6.138247510668874
2021-01-25,514.0,6.116518444171123
2021-02-01,280.0,5.9866557799050675
2021-02-08,355.0,6.171342252130773
2021-02-15,477.0,6.0205210839498395
2021-02-22,285.0,5.978998108908814
2021-03-01,500.0,5.999081318976035
2021-03-08,394.0,6.162911199353734
2021-03-15,382.0,6.011676999501517
2021-03-22,488.0,6.1450119766396725
2021-03-29,579.0,6.1522931800335305
2021-04-05,505.0,6.0506017590435945
2021-04-12,637.0,6.107243916600352
2021-04-19,324.0,6.135298108704921
2021-04-26,476.0,6.075442126902936
2021-05-03,472.0,6.089166460756188
2021-05-10,394.0,6.053130386330392
2021-05-17,447.0,6.071580011716706
2021-05-24,321.0,6.150523633249034
2021-05-31,497.0,6.334972827527488
2021-06-07,404.0,6.201584633999186
2021-06-14,378.0,6.450769630627331
2021-06-21,503.0,6.23427233531238
2021-06-28,363.0,6.223483101392281
2021-07-05,391.0,6.296031056776145
2021-07-12,369.0,6.334287249515611
2021-07-19,478.0,6.269952044085241
2021-07-26,303.0,6.252757119767871
2021-08-02,588.0,6.322495615306248
2021-08-09,196.0,6.381932541440624
2021-08-16,635.0,6.610962874765195
2021-08-23,449.0,6.787760803758218
2021-08-30,408.0,6.838813510255445
2021-09-06,356.0,7.0906184708711475
2021-09-13,464.0,7.273731814211807
2021-09-20,416.0,7.529785174875324
2021-09-27,528.0,7.769185623823273
2021-10-04,431.0,7.808469325670723
2021-10-11,434.0,7.886017181049734
2021-10-18,388.0,8.153995204364666
2021-10-25,415.0,8.410325677654939
2021-11-01,445.0,8.576702253111804
2021-11-08,287.0,8.768159287673194
2021-11-15,301.0,9.153079521033728
2021-11-22,489.0,9.238759418588169
2021-11-29,436.0,9.518344005635424
2021-12-06,404.0,9.675016401714796
2021-12-13,569.0,9.831526281088731
2021-12-20,595.0,10.230134120056253
2021-12-27,525.0,10.592653574855076
2022-01-03,361.0,10.965669002571483
2022-01-10,435.0,11.452791831129172
2022-01-17,348.0,11.688168779066409
2022-01-24,451.0,12.07114369067993
2022-01-31,293.0,12.24598956650588
2022-02-07,507.0,12.566053514546196
2022-02-14,461.0,12.789467171022007
2022-02-21,441.0,7.399170373842167
2022-02-28,499.0,7.440650365635181
2022-03-07,558.0,7.294406623359289
2022-03-14,514.0,7.535674626594403
2022-03-21,246.0,7.362632891682114
2022-03-28,400.0,7.166660275031649
2022-04-04,468.0,7.28023616079782
2022-04-11,540.0,7.346990553425015
2022-04-18,471.0,7.392030708295863
2022-04-25,351.0,7.4379127027580285
2022-05-02,437.0,7.39827872103577
2022-05-09,354.0,7.242557140365022
2022-05-16,367.0,7.21539092696428
2022-05-23,302.0,7.091557652357255
2022-05-30,337.0,7.1802537217334255
2022-06-06,298.0,7.124683028078753
2022-06-13,327.0,6.983734758435183
2022-06-20,521.0,6.907974336429065
2022-06-27,328.0,6.923952398426216
2022-07-04,757.0,6.819030262485845
2022-07-11,566.0,6.684523007775817
2022-07-18,442.0,6.679604480045098
2022-07-25,326.0,6.674843281087172
2022-08-01,495.0,6.580418198927307
2022-08-08,360.0,6.4915229285813805
2022-08-15,432.0,6.485387769387984
2022-08-22,658.0,6.286243306198042
2022-08-29,408.0,6.0976707058341315
2022-09-05,548.0,5.988568499161856
2022-09-12,341.0,5.935123900463913
2022-09-19,416.0,5.937937146245652
2022-09-26,599.0,6.066584456563682
2022-10-03,349.0,6.129487728091782
2022-10-10,615.0,6.080639284490307
2022-10-17,506.0,6.0475007964689365
2022-10-24,355.0,5.909002985804315
2022-10-31,489.0,5.876853103888738
2022-11-07,522.0,5.816525717588594
2022-11-14,485.0,5.820520046732126
2022-11-21,263.0,5.705194107840018
2022-11-28,341.0,5.729354061689788
2022-12-05,394.0,5.859531470938568
2022-12-12,560.0,5.818191734784206
2022-12-19,624.0,5.830471529830264
2022-12-26,583.0,5.873190542738033
2023-01-02,306.0,5.801135083124008
2023-01-09,454.0,5.794822335516576
2023-01-16,473.0,5.766521460850261
2023-01-23,467.0,5.747153869869495
2023-01-30,509.0,5.6387822440663715
2023-02-06,490.0,7.622537436330633
2023-02-13,459.0,7.6988678101339065
2023-02-20,414.0,7.910522738265983
2023-02-27,288.0,8.056351126777919
2023-03-06,458.0,8.383102095442819
2023-03-13,438.0,8.276380774553903
2023-03-20,442.0,8.415771793005758
2023-03-27,437.0,8.45203884655566
2023-04-03,447.0,8.80063738239485
2023-04-10,628.0,8.68219849592703
2023-04-17,417.0,8.560510158926547
2023-04-24,477.0,8.477119570106046
2023-05-01,422.0,8.167318121883222
2023-05-08,422.0,8.098484985338725
2023-05-15,491.0,7.996569341795431
2023-05-22,380.0,8.026268343693161
2023-05-29,427.0,8.083874808981262
2023-06-05,386.0,8.369903776978031
2023-06-12,388.0,8.522843398158061
2023-06-19,398.0,8.443236878897537
2023-06-26,436.0,8.316107422301515
2023-07-03,471.0,8.398464004687371
2023-07-10,591.0,8.209439369354145
2023-07-17,353.0,8.493073021474006
2023-07-24,406.0,8.683987519017437
2023-07-31,388.0,8.619573909817134
2023-08-07,525.0,8.366195419448088
2023-08-14,436.0,8.581158556245263
2023-08-21,499.0,8.572052627301481
2023-08-28,302.0,8.773957076876865
2023-09-04,443.0,8.534256263025183
2023-09-11,494.0,8.451124102297458
2023-09-18,427.0,8.460377961953464
2023-09-25,505.0,8.47600728305464
2023-10-02,377.0,8.416030846209685
2023-10-09,533.0,8.519431557033572
2023-10-16,619.0,8.365636749544771
2023-10-23,381.0,8.352572886315789
2023-10-30,375.0,8.37905335125537
2023-11-06,559.0,8.465464117326123
2023-11-13,582.0,8.583175154652103
2023-11-20,362.0,8.419583420535506
2023-11-27,376.0,8.198459714748273
2023-12-04,392.0,8.397587647273895
2023-12-11,441.0,8.456421824577996
2023-12-18,476.0,8.351601979663398
