,demand,forecast,epsilon,sigma_garch,ss_garch,ss_classic,rop_garch,rop_classic,stockout_garch,stockout_classic,excess_garch,excess_classic
2019-08-12,392,682.75,-290.75,180.5687229610101,420.07170228579423,591.5115108493884,1102.8217022857943,1274.2615108493883,False,False,739.097113804206,883.2615108493883
2019-08-19,388,593.0,-205.0,207.07716793233104,481.74045322698873,591.5115108493884,1074.7404532269888,1184.5115108493883,False,False,714.8217022857943,886.2615108493883
2019-08-26,464,511.5,-47.5,209.854398058243,488.20134948576737,591.5115108493884,999.7013494857674,1103.0115108493883,False,False,610.7404532269888,720.5115108493883
2019-09-02,438,475.0,-37.0,196.0472663254068,456.080696276357,591.5115108493884,931.080696276357,1066.5115108493883,False,False,561.7013494857674,665.0115108493883
2019-09-09,387,420.5,-33.5,184.00098901260603,428.05646187953056,591.5115108493884,848.5564618795306,1012.0115108493884,False,False,544.080696276357,679.5115108493883
2019-09-16,462,419.25,42.75,173.76665225713222,404.24749213028855,591.5115108493884,823.4974921302885,1010.7615108493884,False,False,386.5564618795306,550.0115108493884
2019-09-23,434,437.75,-3.75,165.5730819962384,385.18612341232324,591.5115108493884,822.9361234123232,1029.2615108493883,False,False,389.4974921302885,576.7615108493884
2019-09-30,456,430.25,25.75,157.85430841241097,367.2293128099847,591.5115108493884,797.4793128099848,1021.7615108493884,False,False,366.93612341232324,573.2615108493883
2019-10-07,448,434.75,13.25,151.82171525665953,353.1952008409848,591.5115108493884,787.9452008409849,1026.2615108493883,False,False,349.4793128099848,573.7615108493884
2019-10-14,385,450.0,-65.0,146.60256012071432,341.05345587818994,591.5115108493884,791.0534558781899,1041.5115108493883,False,False,402.94520084098485,641.2615108493883
2019-10-21,396,430.75,-34.75,144.6524009688037,336.5166420754573,591.5115108493884,767.2666420754573,1022.2615108493884,False,False,395.0534558781899,645.5115108493883
2019-10-28,451,421.25,29.75,141.35187237712665,328.8383540463168,591.5115108493884,750.0883540463168,1012.7615108493884,False,False,316.2666420754573,571.2615108493884
2019-11-04,445,420.0,25.0,138.49496900907573,322.1921074461107,591.5115108493884,742.1921074461106,1011.5115108493884,False,False,305.0883540463168,567.7615108493884
2019-11-11,419,419.25,-0.25,136.0362634859421,316.47222087004377,591.5115108493884,735.7222208700438,1010.7615108493884,False,False,323.19210744611064,592.5115108493884
2019-11-18,425,427.75,-2.75,133.67694887130725,310.9835554459026,591.5115108493884,738.7335554459025,1019.2615108493884,False,False,310.72222087004377,585.7615108493884
2019-11-25,468,435.0,33.0,131.785622488508,306.58360909765236,591.5115108493884,741.5836090976524,1026.5115108493883,False,False,270.73355544590254,551.2615108493884
2019-12-02,636,439.25,196.75,130.94900450642996,304.6373166604493,591.5115108493884,743.8873166604493,1030.7615108493883,False,False,105.58360909765236,390.5115108493883
2019-12-09,722,487.0,235.0,152.1247179504036,353.9001006446221,591.5115108493884,840.9001006446222,1078.5115108493883,False,False,21.8873166604493,308.7615108493883
2019-12-16,664,562.75,101.25,174.90179594343957,406.8882691863962,591.5115108493884,969.6382691863962,1154.2615108493883,False,False,176.90010064462217,414.5115108493883
2019-12-23,664,622.5,41.5,170.61250134957467,396.9097344096999,591.5115108493884,1019.4097344096999,1214.0115108493883,False,False,305.6382691863962,490.2615108493883
2019-12-30,760,671.5,88.5,162.90500422760954,378.97915715748184,591.5115108493884,1050.479157157482,1263.0115108493883,False,False,259.4097344096999,454.0115108493883
2020-01-06,750,702.5,47.5,159.7078841895669,371.5414368548213,591.5115108493884,1074.0414368548213,1294.0115108493883,False,False,300.47915715748195,513.0115108493883
2020-01-13,460,709.5,-249.5,154.19665402010978,358.72021399291634,591.5115108493884,1068.2202139929163,1301.0115108493883,False,False,614.0414368548213,834.0115108493883
2020-01-20,483,658.5,-175.5,179.5673620009198,417.7421548635726,591.5115108493884,1076.2421548635725,1250.0115108493883,False,False,585.2202139929163,818.0115108493883
2020-01-27,421,613.25,-192.25,183.80883739447938,427.60944394641456,591.5115108493884,1040.8594439464146,1204.7615108493883,False,False,655.2421548635725,829.0115108493883
2020-02-03,452,528.5,-76.5,189.77524353364618,441.48957967706036,591.5115108493884,969.9895796770604,1120.0115108493883,False,False,588.8594439464146,752.7615108493883
2020-02-10,406,454.0,-48.0,180.768955490038,420.53751949899953,591.5115108493884,874.5375194989995,1045.5115108493883,False,False,563.9895796770604,714.0115108493883
2020-02-17,434,440.5,-6.5,171.627857258638,399.27183941964824,591.5115108493884,839.7718394196482,1032.0115108493883,False,False,440.5375194989995,611.5115108493883
2020-02-24,415,428.25,-13.25,162.90318926516122,378.9749348627635,591.5115108493884,807.2249348627636,1019.7615108493884,False,False,424.77183941964824,617.0115108493883
2020-03-02,424,426.75,-2.75,155.7267114479487,362.2797109964262,591.5115108493884,789.0297109964263,1018.2615108493884,False,False,383.2249348627636,595.7615108493884
2020-03-09,443,419.75,23.25,149.71528723727513,348.2948460656101,591.5115108493884,768.04484606561,1011.2615108493884,False,False,346.0297109964263,575.2615108493884
2020-03-16,249,429.0,-180.0,145.08540409030914,337.5239724445441,591.5115108493884,766.5239724445441,1020.5115108493884,False,False,519.04484606561,762.2615108493884
2020-03-23,361,382.75,-21.75,158.7250913257832,369.25508590481155,591.5115108493884,752.0050859048115,974.2615108493884,False,False,405.52397244454414,659.5115108493884
2020-03-30,595,369.25,225.75,152.4359619101958,354.62417277556534,591.5115108493884,723.8741727755653,960.7615108493884,False,False,157.0050859048115,379.2615108493884
2020-04-06,564,412.0,152.0,173.10938437294345,402.71843640878035,591.5115108493884,814.7184364087803,1003.5115108493884,False,False,159.87417277556528,396.7615108493884
2020-04-13,811,442.25,368.75,175.2781800736628,407.76388219236725,591.5115108493884,850.0138821923672,1033.7615108493883,False,False,3.7184364087803488,192.5115108493884
2020-04-20,783,582.75,200.25,223.21689571320672,519.28761428658,591.5115108493884,1102.03761428658,1174.2615108493883,False,False,67.01388219236719,250.7615108493883
2020-04-27,765,688.25,76.75,221.84728916768987,516.101387216894,591.5115108493884,1204.351387216894,1279.7615108493883,False,False,337.03761428658004,409.2615108493883
2020-05-04,765,730.75,34.25,207.6664720996886,483.1113994278957,591.5115108493884,1213.8613994278958,1322.2615108493883,False,False,439.35138721689395,514.7615108493883
2020-05-11,279,781.0,-502.0,193.73799634331166,450.70845375002733,591.5115108493884,1231.7084537500273,1372.5115108493883,False,False,934.8613994278958,1043.2615108493883
2020-05-18,220,648.0,-428.0,272.4639790660842,633.8551085758354,591.5115108493884,1281.8551085758354,1239.5115108493883,False,False,1011.7084537500273,1152.5115108493883
2020-05-25,285,507.25,-222.25,303.28649358025086,705.560030271994,591.5115108493884,1212.810030271994,1098.7615108493883,False,False,996.8551085758354,954.5115108493883
2020-06-01,239,387.25,-148.25,289.9720415683472,674.5855379572282,591.5115108493884,1061.835537957228,978.7615108493884,False,False,973.810030271994,859.7615108493883
2020-06-08,336,255.75,80.25,270.8156762511544,630.0205277137914,591.5115108493884,885.7705277137914,847.2615108493884,False,False,725.8355379572281,642.7615108493884
2020-06-15,272,270.0,2.0,249.59333754097466,580.649275581738,591.5115108493884,850.649275581738,861.5115108493884,False,False,613.7705277137914,575.2615108493884
2020-06-22,236,283.0,-47.0,229.14240300468228,533.0726037023522,591.5115108493884,816.0726037023522,874.5115108493884,False,False,614.649275581738,625.5115108493884
2020-06-29,263,270.75,-7.75,212.42404548794462,494.1793292397814,591.5115108493884,764.9293292397814,862.2615108493884,False,False,553.0726037023522,611.5115108493884
2020-07-06,718,276.75,441.25,197.31374969242435,459.0270195109439,591.5115108493884,735.7770195109439,868.2615108493884,False,False,46.929329239781396,144.2615108493884
2020-07-13,630,372.25,257.75,256.80289505025723,597.4214554254511,591.5115108493884,969.6714554254511,963.7615108493884,False,False,105.77701951094389,238.2615108493884
2020-07-20,606,461.75,144.25,257.4595309212516,598.9490408432761,591.5115108493884,1060.6990408432762,1053.2615108493883,False,False,363.6714554254511,357.7615108493884
2020-07-27,703,554.25,148.75,243.0469987859836,565.4199954525191,591.5115108493884,1119.669995452519,1145.7615108493883,False,False,357.6990408432762,350.2615108493883
2020-08-03,702,664.25,37.75,231.47896242479666,538.5083318672532,591.5115108493884,1202.7583318672532,1255.7615108493883,False,False,417.66999545251906,443.7615108493883
2020-08-10,636,660.25,-24.25,214.11845326878114,498.1211678328138,591.5115108493884,1158.3711678328139,1251.7615108493883,False,False,566.7583318672532,619.7615108493883
2020-08-17,398,661.75,-263.75,198.974683958659,462.890985945223,591.5115108493884,1124.640985945223,1253.2615108493883,False,False,760.3711678328139,853.7615108493883
2020-08-24,430,609.75,-179.75,214.3635794317481,498.6914247569576,591.5115108493884,1108.4414247569575,1201.2615108493883,False,False,694.6409859452231,823.2615108493883
2020-08-31,358,541.5,-183.5,211.8369550494962,492.81353301643435,591.5115108493884,1034.3135330164343,1133.0115108493883,False,False,750.4414247569575,843.2615108493883
2020-09-07,356,455.5,-99.5,210.3485339010483,489.35089787512203,591.5115108493884,944.850897875122,1047.0115108493883,False,False,678.3135330164343,777.0115108493883
2020-09-14,386,385.5,0.5,199.62968529830476,464.4147688198679,591.5115108493884,849.914768819868,977.0115108493884,False,False,558.850897875122,661.0115108493883
2020-09-21,410,382.5,27.5,186.42182698771518,433.68825409961386,591.5115108493884,816.1882540996139,974.0115108493884,False,False,439.91476881986796,567.0115108493884
2020-09-28,434,377.5,56.5,175.6249019200705,408.5704894156548,591.5115108493884,786.0704894156547,969.0115108493884,False,False,382.1882540996139,540.0115108493884
2020-10-05,483,396.5,86.5,167.78472193156276,390.331241222541,591.5115108493884,786.8312412225409,988.0115108493884,False,False,303.0704894156547,486.0115108493884
2020-10-12,459,428.25,30.75,163.47949272280832,380.3156364555819,591.5115108493884,808.5656364555819,1019.7615108493884,False,False,327.83124122254094,529.0115108493884
2020-10-19,413,446.5,-33.5,156.60722961246452,364.32813199756265,591.5115108493884,810.8281319975627,1038.0115108493883,False,False,395.56563645558185,606.7615108493884
2020-10-26,419,447.25,-28.25,151.04616526041863,351.39097582467895,591.5115108493884,798.6409758246789,1038.7615108493883,False,False,391.82813199756265,619.0115108493883
2020-11-02,379,443.5,-64.5,146.31673694086052,340.3885221745836,591.5115108493884,783.8885221745836,1035.0115108493883,False,False,419.6409758246789,659.7615108493883
2020-11-09,419,417.5,1.5,144.38656844552102,335.89821426167475,591.5115108493884,753.3982142616748,1009.0115108493884,False,False,364.8885221745836,616.0115108493883
2020-11-16,408,407.5,0.5,140.43491483809626,326.7051611653577,591.5115108493884,734.2051611653577,999.0115108493884,False,False,345.39821426167475,601.0115108493884
2020-11-23,433,406.25,26.75,137.22762435485686,319.24378052907605,591.5115108493884,725.493780529076,997.7615108493884,False,False,301.2051611653577,566.0115108493884
2020-11-30,389,409.75,-20.75,135.07157378646616,314.2279847831333,591.5115108493884,723.9779847831333,1001.2615108493884,False,False,336.49378052907605,608.7615108493884
2020-12-07,717,412.25,304.75,133.16624747433184,309.7954692609352,591.5115108493884,722.0454692609352,1003.7615108493884,False,False,6.977984783133252,284.2615108493884
2020-12-14,791,486.75,304.25,180.2362284629171,419.2981932997183,591.5115108493884,906.0481932997184,1078.2615108493883,True,False,0.0,212.7615108493884
2020-12-21,670,582.5,87.5,210.0071784015523,488.5567748209934,591.5115108493884,1071.0567748209933,1174.0115108493883,False,False,236.04819329971838,408.2615108493883
2020-12-28,717,641.75,75.25,198.42028497299916,461.6012425066435,591.5115108493884,1103.3512425066435,1233.2615108493883,False,False,354.05677482099327,457.0115108493883
2021-01-04,741,723.75,17.25,187.8847696649958,437.0916166017926,591.5115108493884,1160.8416166017926,1315.2615108493883,False,False,362.35124250664353,492.2615108493883
2021-01-11,643,729.75,-86.75,176.64091794722466,410.93413011199203,591.5115108493884,1140.684130111992,1321.2615108493883,False,False,517.8416166017926,672.2615108493883
2021-01-18,431,692.75,-261.75,170.71981002260821,397.15937530105714,591.5115108493884,1089.909375301057,1284.2615108493883,False,False,709.6841301119921,890.2615108493883
2021-01-25,421,633.0,-212.0,193.69440253445575,450.60703792786865,591.5115108493884,1083.6070379278685,1224.5115108493883,False,False,668.909375301057,863.2615108493883
2021-02-01,424,559.0,-135.0,200.68703900837858,466.87457672915247,591.5115108493884,1025.8745767291525,1150.5115108493883,False,False,659.6070379278685,800.5115108493883
2021-02-08,388,479.75,-91.75,195.1304045007485,453.9477260635244,591.5115108493884,933.6977260635244,1071.2615108493883,False,False,637.8745767291525,762.5115108493883
2021-02-15,421,416.0,5.0,186.35557066693943,433.5341166332849,591.5115108493884,849.5341166332848,1007.5115108493884,False,False,512.6977260635244,650.2615108493883
2021-02-22,440,413.5,26.5,175.2275111989639,407.6460070692637,591.5115108493884,821.1460070692638,1005.0115108493884,False,False,409.53411663328484,567.5115108493884
2021-03-01,476,418.25,57.75,166.232350152454,386.71983252928976,591.5115108493884,804.9698325292898,1009.7615108493884,False,False,345.14600706926376,529.0115108493884
2021-03-08,460,431.25,28.75,160.1108546471923,372.478899795965,591.5115108493884,803.7288997959649,1022.7615108493884,False,False,344.96983252928976,549.7615108493884
2021-03-15,510,449.25,60.75,153.76651772991897,357.7195529666191,591.5115108493884,806.9695529666192,1040.7615108493883,False,False,293.72889979596494,512.7615108493884
2021-03-22,382,471.5,-89.5,150.12883215101758,349.256909223829,591.5115108493884,820.756909223829,1063.0115108493883,False,False,424.9695529666192,658.7615108493883
2021-03-29,759,457.0,302.0,149.57447371433224,347.96726011762587,591.5115108493884,804.9672601176259,1048.5115108493883,False,False,61.756909223828984,304.0115108493883
2021-04-05,698,527.75,170.25,189.42260859630667,440.6692163495442,591.5115108493884,968.4192163495442,1119.2615108493883,False,False,106.96726011762587,350.5115108493883
2021-04-12,882,587.25,294.75,190.69433886410616,443.6277458760461,591.5115108493884,1030.877745876046,1178.7615108493883,False,False,86.41921634954417,237.2615108493883
2021-04-19,560,680.25,-120.25,215.03090020165635,500.24386732391616,591.5115108493884,1180.4938673239162,1271.7615108493883,False,False,470.877745876046,618.7615108493883
2021-04-26,551,724.75,-173.75,205.36549207690106,477.75844250796064,591.5115108493884,1202.5084425079606,1316.2615108493883,False,False,629.4938673239162,720.7615108493883
2021-05-03,584,672.75,-88.75,203.81354111049225,474.14801278550976,591.5115108493884,1146.8980127855098,1264.2615108493883,False,False,618.5084425079606,732.2615108493883
2021-05-10,241,644.25,-403.25,193.33779987366077,449.777444162662,591.5115108493884,1094.027444162662,1235.7615108493883,False,False,905.8980127855098,1023.2615108493883
2021-05-17,369,484.0,-115.0,243.83977110845316,567.2642861666798,591.5115108493884,1051.2642861666798,1075.5115108493883,False,False,725.027444162662,866.7615108493883
2021-05-24,352,436.25,-84.25,228.97242959885477,532.6771807478206,591.5115108493884,968.9271807478206,1027.7615108493883,False,False,699.2642861666798,723.5115108493883
2021-05-31,433,386.5,46.5,214.15872600416608,498.21485757172013,591.5115108493884,884.7148575717201,978.0115108493884,False,False,535.9271807478206,594.7615108493883
2021-06-07,447,348.75,98.25,199.65635141539116,464.47680437627065,591.5115108493884,813.2268043762706,940.2615108493884,False,False,437.71485757172013,531.0115108493884
2021-06-14,556,400.25,155.75,190.64133953421242,443.50444922553334,591.5115108493884,843.7544492255333,991.7615108493884,False,False,257.2268043762706,384.2615108493884
2021-06-21,496,447.0,49.0,189.61985269395674,441.1280813318456,591.5115108493884,888.1280813318456,1038.5115108493883,False,False,347.75444922553334,495.7615108493884
2021-06-28,375,483.0,-108.0,179.06687348182052,416.5778277268186,591.5115108493884,899.5778277268187,1074.5115108493883,False,False,513.1280813318456,663.5115108493883
2021-07-05,558,468.5,89.5,174.660492772546,406.32690599956067,591.5115108493884,874.8269059995607,1060.0115108493883,False,False,341.57782772681867,516.5115108493883
2021-07-12,751,496.25,254.75,169.3352914020653,393.93845705873554,591.5115108493884,890.1884570587356,1087.7615108493883,False,False,123.82690599956072,309.0115108493883
2021-07-19,495,545.0,-50.0,191.18673305030674,444.7732425080269,591.5115108493884,989.7732425080269,1136.5115108493883,False,False,395.1884570587356,592.7615108493883
2021-07-26,990,544.75,445.25,180.4248147574606,419.7369169306861,591.5115108493884,964.4869169306861,1136.2615108493883,True,False,0.0,146.5115108493883
2021-08-02,964,698.5,265.5,247.95808869816722,576.845063236462,591.5115108493884,1275.345063236462,1290.0115108493883,False,False,0.48691693068610675,172.2615108493883
2021-08-09,551,800.0,-249.0,251.8314942994148,585.8560816336555,591.5115108493884,1385.8560816336555,1391.5115108493883,False,False,724.345063236462,739.0115108493883
2021-08-16,180,750.0,-570.0,252.10799641071495,586.4993309775883,591.5115108493884,1336.4993309775882,1341.5115108493883,False,False,1205.8560816336555,1211.5115108493883
2021-08-23,621,671.25,-50.25,326.7591783355391,760.1664453846537,591.5115108493884,1431.4164453846538,1262.7615108493883,False,False,715.4993309775882,720.5115108493883
2021-08-30,403,579.0,-176.0,296.8104702324948,690.494330591979,591.5115108493884,1269.494330591979,1170.5115108493883,False,False,1028.4164453846538,859.7615108493883
2021-09-06,589,438.75,150.25,279.267163488569,649.6819096654929,591.5115108493884,1088.4319096654929,1030.2615108493883,False,False,680.494330591979,581.5115108493883
2021-09-13,205,448.25,-243.25,261.95286575248156,609.4022510146876,591.5115108493884,1057.6522510146876,1039.7615108493883,False,False,883.4319096654929,825.2615108493883
2021-09-20,336,454.5,-118.5,259.2439733427312,603.1003343415624,591.5115108493884,1057.6003343415623,1046.0115108493883,False,False,721.6522510146876,703.7615108493883
2021-09-27,421,383.25,37.75,242.26399266924804,563.5984246568485,591.5115108493884,946.8484246568485,974.7615108493884,False,False,636.6003343415623,625.0115108493883
2021-10-04,426,387.75,38.25,223.35597544560903,519.6111667766551,591.5115108493884,907.3611667766551,979.2615108493884,False,False,520.8484246568485,548.7615108493884
2021-10-11,371,347.0,24.0,207.19729126475235,482.01990590244105,591.5115108493884,829.019905902441,938.5115108493884,False,False,536.3611667766551,608.2615108493884
2021-10-18,483,388.5,94.5,193.08694374344955,449.1938571498136,591.5115108493884,837.6938571498135,980.0115108493884,False,False,346.019905902441,455.5115108493884
2021-10-25,319,425.25,-106.25,184.89162819061562,430.1284282172983,591.5115108493884,855.3784282172983,1016.7615108493884,False,False,518.6938571498135,661.0115108493884
2021-11-01,407,399.75,7.25,179.2249593134451,416.94559565090225,591.5115108493884,816.6955956509023,991.2615108493884,False,False,448.3784282172983,609.7615108493884
2021-11-08,430,395.0,35.0,169.25532442996965,393.7524233894266,591.5115108493884,788.7524233894267,986.5115108493884,False,False,386.6955956509023,561.2615108493884
2021-11-15,460,409.75,50.25,161.52920815768968,375.77853089390607,591.5115108493884,785.528530893906,1001.2615108493884,False,False,328.75242338942667,526.5115108493884
2021-11-22,472,404.0,68.0,155.83145297467777,362.52337972660047,591.5115108493884,766.5233797266005,995.5115108493884,False,False,313.528530893906,529.2615108493884
2021-11-29,342,442.25,-100.25,152.30677543773012,354.32363578050297,591.5115108493884,796.573635780503,1033.7615108493883,False,False,424.5233797266005,653.5115108493884
2021-12-06,483,426.0,57.0,152.4071461730154,354.557136383152,591.5115108493884,780.557136383152,1017.5115108493884,False,False,313.57363578050297,550.7615108493883
2021-12-13,893,439.25,453.75,148.78534352657948,346.1314423975992,591.5115108493884,785.3814423975991,1030.7615108493883,True,False,0.0,124.5115108493884
2021-12-20,746,547.5,198.5,233.44718300846384,543.087163447258,591.5115108493884,1090.587163447258,1139.0115108493883,False,False,39.38144239759913,284.7615108493883
2021-12-27,541,616.0,-75.0,229.7758323926144,534.546201991708,591.5115108493884,1150.5462019917081,1207.5115108493883,False,False,549.587163447258,598.0115108493883
2022-01-03,972,665.75,306.25,214.27542265914622,498.4863384888175,591.5115108493884,1164.2363384888176,1257.2615108493883,False,False,178.54620199170813,235.5115108493883
2022-01-10,708,788.0,-80.0,234.36005293500514,545.2108469829195,591.5115108493884,1333.2108469829195,1379.5115108493883,False,False,456.23633848881764,549.2615108493883
2022-01-17,561,741.75,-180.75,218.4580183464147,508.21665092339936,591.5115108493884,1249.9666509233994,1333.2615108493883,False,False,772.2108469829195,818.5115108493883
2022-01-24,428,695.5,-267.5,215.25723085419045,500.77039872387513,591.5115108493884,1196.2703987238751,1287.0115108493883,False,False,821.9666509233994,905.2615108493883
2022-01-31,641,667.25,-26.25,227.18509438919435,528.5191575211761,591.5115108493884,1195.769157521176,1258.7615108493883,False,False,555.2703987238751,646.0115108493883
2022-02-07,632,584.5,47.5,210.162627819255,488.9184094410035,591.5115108493884,1073.4184094410034,1176.0115108493883,False,False,563.7691575211761,626.7615108493883
2022-02-14,388,565.5,-177.5,196.30824543296077,456.6878331944981,591.5115108493884,1022.1878331944981,1157.0115108493883,False,False,685.4184094410034,788.0115108493883
2022-02-21,534,522.25,11.75,197.1761308148912,458.7068655263333,591.5115108493884,980.9568655263333,1113.7615108493883,False,False,488.1878331944981,623.0115108493883
2022-02-28,493,548.75,-55.75,184.4061937917395,428.99912270447135,591.5115108493884,977.7491227044713,1140.2615108493883,False,False,487.95686552633333,620.7615108493883
2022-03-07,565,511.75,53.25,175.0385671724035,407.2064512172178,591.5115108493884,918.9564512172178,1103.2615108493883,False,False,412.74912270447135,575.2615108493883
2022-03-14,316,495.0,-179.0,167.1245368733568,388.7953990419208,591.5115108493884,883.7953990419207,1086.5115108493883,False,False,602.9564512172178,787.2615108493883
2022-03-21,491,477.0,14.0,174.86317687180383,406.79842649992923,591.5115108493884,883.7984264999293,1068.5115108493883,False,False,392.79539904192075,595.5115108493883
2022-03-28,873,466.25,406.75,165.67832931437673,385.4309688061789,591.5115108493884,851.680968806179,1057.7615108493883,False,False,10.798426499929292,195.5115108493883
2022-04-04,325,561.25,-236.25,228.18510175746871,530.8455559726956,591.5115108493884,1092.0955559726956,1152.7615108493883,False,False,526.680968806179,732.7615108493883
2022-04-11,349,501.25,-152.25,231.44411200248013,538.4272564961268,591.5115108493884,1039.6772564961268,1092.7615108493883,False,False,743.0955559726956,803.7615108493883
2022-04-18,25,509.5,-484.5,222.26276138588585,517.0679340201724,591.5115108493884,1026.5679340201723,1101.0115108493883,False,False,1014.6772564961268,1067.7615108493883
2022-04-25,549,393.0,156.0,284.2388932086804,661.2480487652474,591.5115108493884,1054.2480487652474,984.5115108493884,False,False,477.5679340201723,552.0115108493883
2022-05-02,1000,312.0,688.0,266.6906702460635,620.4241908394822,591.5115108493884,932.4241908394822,903.5115108493884,False,True,54.248048765247404,0.0
2022-05-09,779,480.75,298.25,370.2609137859839,861.3680696936458,591.5115108493884,1342.1180696936458,1072.2615108493883,False,False,153.4241908394822,124.5115108493884
2022-05-16,438,588.25,-150.25,355.31550717424045,826.5993550801849,591.5115108493884,1414.849355080185,1179.7615108493883,False,False,904.1180696936458,634.2615108493883
2022-05-23,782,691.5,90.5,326.7863063686968,760.2295555339715,591.5115108493884,1451.7295555339715,1283.0115108493883,False,False,632.849355080185,397.7615108493883
2022-05-30,100,749.75,-649.75,298.394535728504,694.1794709558749,591.5115108493884,1443.9294709558749,1341.2615108493883,False,False,1351.7295555339715,1183.0115108493883
2022-06-06,0,524.75,-524.75,377.9866238190966,879.3410171219601,591.5115108493884,1404.0910171219602,1116.2615108493883,False,False,1443.9294709558749,1341.2615108493883
2022-06-13,398,330.0,68.0,401.725791637474,934.5673734520495,591.5115108493884,1264.5673734520497,921.5115108493884,False,False,1006.0910171219602,718.2615108493883
2022-06-20,556,320.0,236.0,362.8160496250602,844.0484768534118,591.5115108493884,1164.0484768534118,911.5115108493884,False,False,708.5673734520497,365.5115108493884
